PartNo,Barcode,Size,Diameter,Width,Description,Cap,Bore,Load,Finish,Offset,Backspace,Bolt Pattern1,Bolt Pattern2,Additional Info,Brand,Style,Discontinued,Special,Length,Width,Height,Gross Weight,MSRP,Price,Qty AL,Qty CA,Qty IN,Qty TX,Qty NC,Qty ON,L Pic,XL Pic
111-2970MF10,886821170579,20X9,20,9,8-170 MBMF/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Matte Black Machined Face,10,5.37,8-170,,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11.25,45.8,397.14,250.85,15,43,4,0,4,5,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-2981GM12,886821179053,20X9,20,9,8-6.5 GM W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Gunmetal,12,5.5,8-6.5 (8-165.1),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11.25,45.8,389.51,246.18,11,21,32,0,8,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2981MB12,886821170340,20X9,20,9,8-6.5 MB W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Matte Black,12,5.5,8-6.5 (8-165.1),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,8.5,38,389.51,246.18,18,18,8,0,8,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2983GM0,886821185245,20X9,20,9,6-5.5 GM W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Gunmetal,0,5,6-5.5 (6-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,12,37,389.51,246.18,58,48,2,1,4,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2983MB0,886821185306,20X9,20,9,6-5.5 MB W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black,0,5,6-5.5 (6-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,19,19,10,25.7,389.51,246.18,82,79,21,0,8,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2983MB10,886821170319,20X9,20,9,6-5.5 MB W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black,10,5.37,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,12,38,389.51,246.18,26,64,72,0,4,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2983MF0,886821185351,20X9,20,9,6-5.5 MBMF W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black Machined Face,0,5,6-5.5 (6-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,39,397.14,250.85,0,28,11,0,4,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-2983MF10,886821170555,20X9,20,9,6-5.5 MBMF/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black Machined Face,10,5.37,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,12,37,397.14,250.85,36,35,73,0,4,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-2984GM12,886821226191,20X9,20,9,6-5.5HC GM W/YZINC VOR NEMESIS,C111MB-6V,78.1,2400,Gunmetal,12,5.5,6-5.5 (6-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,41.22,389.51,246.18,8,44,0,0,0,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2984MB12,886821226207,20X9,20,9,6-5.5HC MB W/YZINC VOR NEMESIS,C111MB-6V,78.1,2400,Matte Black,12,5.5,6-5.5 (6-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,41.22,389.51,246.18,36,32,0,0,0,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2984MF12,886821226214,20X9,20,9,6-5.5HC MBMF/YZINC VOR NEMESIS,C111MB-6V,78.1,2400,Matte Black Machined Face,12,5.5,6-5.5 (6-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,41.22,397.14,250.85,33,16,8,0,0,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-2985GM12,886821179039,20X9,20,9,5-5.5 GM W/YZINC VOR NEMESIS,C111MB-5V,108,2400,Gunmetal,12,5.5,5-5.5 (5-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11.25,43,389.51,246.18,17,25,13,0,5,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2985GM-12,886821185252,20X9,20,9,5-5.5 GM W/YZINC VOR NEMESIS,C111MB-5V,108,2400,Gunmetal,-12,4.5,5-5.5 (5-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,39.6,389.51,246.18,0,3,0,0,0,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2985MB12,886821170326,20X9,20,9,5-5.5 MB W/YZINC VOR NEMESIS,C111MB-5V,108,2400,Matte Black,12,5.5,5-5.5 (5-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11.25,38.6,389.51,246.18,31,29,33,0,4,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2985MB-12,886821185313,20X9,20,9,5-5.5 MB W/YZINC VOR NEMESIS,C111MB-5V,108,2400,Matte Black,-12,4.5,5-5.5 (5-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,39.6,389.51,246.18,7,0,8,0,0,4,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2985MF-12,886821185375,20X9,20,9,5-5.5 MBMF W/YZINC VOR NEMESIS,C111MB-5V,108,2400,Matte Black Machined Face,-12,4.5,5-5.5 (5-139.7),,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,0,0,0,0,397.14,250.85,0,0,0,0,0,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-2987GM10,886821185276,20X9,20,9,8-180 GM W/YZINC VOR NEMESIS,C111MB-8V,124.2,3650,Gunmetal,10,5.37,8-180,,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22,22,11,43.4,389.51,246.18,2,1,0,0,0,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-2987MB10,886821185320,20X9,20,9,8-180 MB W/YZINC VOR NEMESIS,C111MB-8V,124.2,3650,Matte Black,10,5.37,8-180,,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,0,0,0,0,389.51,246.18,17,23,16,0,0,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-2987MF10,886821185382,20X9,20,9,8-180 MBMF W/YZINC VOR NEMESIS,C111MB-8V,124.2,3650,Matte Black Machined Face,10,5.37,8-180,,w\Yellow Zinc Bolts,VIS-VOR,111,No,No,22.5,22.5,11,41.45,397.14,250.85,0,0,0,0,0,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-7973GM-12,886821178841,17X9,17,9,5-5 GM W/YZINC VOR NEMESIS,C111MB-65V,71.5,2400,Gunmetal,-12,4.5,5-5 (5-127),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22.5,22.5,10.5,38,285.66,180.73,16,169,73,0,12,2,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-7973MB-12,886821170197,17X9,17,9,5-5 MB W/YZINC VOR NEMESIS,C111MB-65V,71.5,2400,Matte Black,-12,4.5,5-5 (5-127),,Yellow Zinc Bolts,VIS-VOR,111,No,No,19.25,19.25,11.25,29.2,285.66,180.73,6,99,57,69,4,5,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-7973MF-12,886821170432,17X9,17,9,5-5 MBMF/YZINC VOR NEMESIS,C111MB-65V,71.5,2400,Matte Black Machined Face,-12,4.5,5-5 (5-127),,Yellow Zinc Bolts,VIS-VOR,111,No,No,19.5,19.5,11.25,29.05,293.28,185.42,0,0,0,0,0,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-7981GM-12,886821178889,17X9,17,9,8-6.5 GM W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Gunmetal,-12,4.5,8-6.5 (8-165.1),,Yellow Zinc Bolts,VIS-VOR,111,No,No,19.25,19.25,11.25,31.7,285.66,180.73,88,172,45,0,8,16,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-7981MB-12,886821170227,17X9,17,9,8-6.5 MB W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Matte Black,-12,4.5,8-6.5 (8-165.1),,Yellow Zinc Bolts,VIS-VOR,111,No,No,19,19,11,32,285.66,180.73,32,17,0,0,12,4,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-7981MF-12,886821170456,17X9,17,9,8-6.5 MBMF/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Matte Black Machined Face,-12,4.5,8-6.5 (8-165.1),,Yellow Zinc Bolts,VIS-VOR,111,No,No,19,19,11,31.35,293.28,185.42,1,30,0,3,8,2,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-7983GM-12,886821178858,17X9,17,9,6-5.5 GM W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Gunmetal,-12,4.5,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22.5,22.5,10.5,38,285.66,180.73,173,2,69,0,12,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-7983MB-12,886821170203,17X9,17,9,6-5.5 MB W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black,-12,4.5,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,22.5,22.5,11.5,38,285.66,180.73,86,10,19,5,8,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-7983MF-12,886821170449,17X9,17,9,6-5.5 MBMF/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black Machined Face,-12,4.5,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,19,19,11,28.2,293.28,185.42,15,14,0,0,0,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-8936GM18,886821178896,18X9,18,9,6-135 GM W/YZINC VOR NEMESIS,C111MB-6V,87.1,2400,Gunmetal,18,5.7,6-135,,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.5,11.25,33.05,328.42,207.24,83,45,23,0,0,1,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-8936MB18,886821179077,18X9,18,9,6-135 MB W/YZINC VOR NEMESIS,C111MB-6V,87.1,2400,Matte Black,18,5.7,6-135,,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.25,20.25,19.7,38,328.42,207.24,22,22,21,8,8,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-8936MF18,886821178803,18X9,18,9,6-135 MBMF/YZINC VOR NEMESIS,C111MB-6V,87.1,2400,Matte Black Machined Face,18,5.7,6-135,,Yellow Zinc Bolts,VIS-VOR,111,No,No,20,20,11,33.3,336.04,213.45,26,39,0,0,13,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-8950GM18,886821178902,18X9,18,9,5-150 GM W/YZINC VOR NEMESIS,C111MB-5V,110.2,2400,Gunmetal,18,5.7,5-150,,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.25,20.25,12,39,328.42,207.24,22,26,0,26,12,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-8950MB18,886821179084,18X9,18,9,5-150 MB W/YZINC VOR NEMESIS,C111MB-5V,110.2,2400,Matte Black,18,5.7,5-150,,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.5,11.25,33,328.42,207.24,86,90,42,0,8,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-8950MF18,886821178810,18X9,18,9,5-150 MBMF/YZINC VOR NEMESIS,C111MB-5V,110.2,2400,Matte Black Machined Face,18,5.7,5-150,,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.25,20.25,11.25,33.3,336.04,213.45,27,16,9,0,8,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-8970GM10,886821178988,18X9,18,9,8-170 GM W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Gunmetal,10,5.4,8-170,,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.25,20.25,12,39,328.42,207.24,18,52,25,8,8,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-8970MB10,886821170296,18X9,18,9,8-170 MB W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Matte Black,10,5.4,8-170,,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.5,11.25,37.45,328.42,207.24,62,17,41,0,8,4,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-8973GM0,886821178919,18X9,18,9,5-5 GM W/YZINC VOR NEMESIS,C111MB-65V,78.1,2400,Gunmetal,0,5,5-5 (5-127),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.25,20.25,11,35.3,328.42,207.24,38,35,15,0,10,5,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-8973MB0,886821170234,18X9,18,9,5-5 MB W/YZINC VOR NEMESIS,C111MB-65V,78.1,2400,Matte Black,0,5,5-5 (5-127),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.25,20.5,10.5,35.5,328.42,207.24,66,53,38,3,4,3,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-8981GM18,886821178971,18X9,18,9,8-6.5 GM W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Gunmetal,18,5.7,8-6.5 (8-165.1),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.25,11,37,328.42,207.24,0,2,0,0,4,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-8981MB18,886821170289,18X9,18,9,8-6.5 MB W/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Matte Black,18,5.7,8-6.5 (8-165.1),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.25,20.5,11.25,36.65,328.42,207.24,50,58,67,0,8,0,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-8981MF18,886821170531,18X9,18,9,8-6.5 MBMF/YZINC VOR NEMESIS,C111MB-8V,125.2,3650,Matte Black Machined Face,18,5.7,8-6.5 (8-165.1),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.5,11,36.4,336.04,213.45,27,16,72,0,0,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-8983GM0,886821178926,18X9,18,9,6-5.5 GM W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Gunmetal,0,5,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.5,11,34.05,328.42,207.24,6,15,67,0,4,4,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-8983GM18,886821178933,18X9,18,9,6-5.5 GM W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Gunmetal,18,5.7,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.5,11,33.15,328.42,207.24,44,47,12,0,4,15,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-682-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-682-00-1000.jpg
111-8983MB0,886821170241,18X9,18,9,6-5.5 MB W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black,0,5,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20,20,11,33.3,328.42,207.24,17,50,2,0,12,4,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-8983MB18,886821170258,18X9,18,9,6-5.5 MB W/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black,18,5.7,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.5,11,33.1,328.42,207.24,27,41,26,0,0,2,https://images.iconfigurators.app/images/wheels/large/111-Nemesis-500-1.png,https://images.iconfigurators.app/images/wheels/xlarge/111-Nemesis-1000-1.png
111-8983MF0,886821170487,18X9,18,9,6-5.5 MBMF/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black Machined Face,0,5,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.25,20.25,11.25,34.3,336.04,213.45,36,26,3,1,0,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
111-8983MF18,886821170494,18X9,18,9,6-5.5 MBMF/YZINC VOR NEMESIS,C111MB-6V,106.2,2400,Matte Black Machined Face,18,5.7,6-5.5 (6-139.7),,Yellow Zinc Bolts,VIS-VOR,111,No,No,20.5,20.5,10.75,33.2,336.04,213.45,14,35,0,0,0,0,https://images.iconfigurators.app/images/wheels/large/Vision_111_15x8-1611-684-00-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_111_15x8-1611-684-00-1000.jpg
112-127110GMMF4,886821179138,12X7,12,7,4-110 GM MF VIS ASSAULT,C112GM-V,86,675,Gunmetal Machined Face,2.5,4,4-110,,,VIS-ATV,112,No,No,13.75,13.75,8.5,14.8,126.8,79.46,60,16,0,0,0,0,https://images.iconfigurators.app/images/wheels/large/Vision_112_wheel_4lug_gloss_gunmetal_machined_windows_14x8-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_112_wheel_4lug_gloss_gunmetal_machined_windows_14x8-1000.jpg
112-127136GMMF4,886821179121,12X7,12,7,4-136 GM MF VIS ASSAULT,C112GM-V,110.5,675,Gunmetal Machined Face,2.5,4,4-136,,,VIS-ATV,112,No,No,13.75,13.75,9.5,14.9,126.8,79.46,38,36,3,0,0,12,https://images.iconfigurators.app/images/wheels/large/Vision_112_wheel_4lug_gloss_gunmetal_machined_windows_14x8-500.png,https://images.iconfigurators.app/images/wheels/xlarge/Vision_112_wheel_4lug_gloss_gunmetal_machined_windows_14x8-1000.jpg
